iter	Passed	Remaining
447	1098	1353
448	1100	1350
449	1101	1346
450	1103	1343
451	1104	1339
452	1106	1335
453	1107	1332
454	1109	1328
455	1110	1325
456	1112	1321
457	1113	1318
458	1115	1314
459	1116	1311
460	1118	1307
461	1120	1304
462	1121	1301
463	1123	1297
464	1124	1293
465	1126	1290
466	1128	1287
467	1129	1284
468	1131	1280
469	1132	1277
470	1133	1273
471	1135	1269
472	1136	1266
473	1137	1262
474	1138	1258
475	1140	1255
476	1141	1251
477	1142	1248
478	1144	1244
479	1145	1241
480	1147	1237
481	1148	1233
482	1149	1230
483	1150	1227
484	1152	1223
485	1153	1220
486	1154	1216
487	1156	1213
488	1157	1209
489	1158	1206
490	1160	1202
491	1161	1198
492	1162	1195
493	1163	1192
494	1165	1188
495	1166	1185
496	1167	1181
497	1168	1178
498	1170	1175
499	1171	1171
500	1173	1168
501	1174	1165
502	1176	1162
503	1177	1158
504	1178	1155
505	1179	1152
506	1181	1148
507	1182	1145
508	1183	1141
509	1185	1138
510	1186	1135
511	1188	1132
512	1189	1129
513	1191	1126
514	1192	1122
515	1193	1119
516	1194	1116
517	1195	1112
518	1196	1109
519	1198	1106
520	1199	1103
521	1201	1100
522	1202	1096
523	1204	1093
524	1205	1090
525	1206	1087
526	1208	1084
527	1209	1080
528	1210	1077
529	1211	1074
530	1213	1071
531	1214	1068
532	1215	1064
533	1216	1062
534	1218	1059
535	1219	1055
536	1220	1052
537	1222	1049
538	1223	1046
539	1225	1044
540	1226	1040
541	1228	1037
542	1229	1034
543	1231	1031
544	1232	1029
545	1234	1026
546	1235	1023
547	1237	1020
548	1238	1017
549	1239	1014
550	1241	1011
551	1243	1008
552	1244	1005
553	1245	1002
554	1247	1000
555	1249	997
556	1251	995
557	1253	992
558	1255	990
559	1257	987
560	1258	984
561	1260	982
562	1261	979
563	1263	976
564	1264	973
565	1266	970
566	1267	968
567	1268	965
568	1270	962
569	1271	959
570	1273	956
571	1274	953
572	1276	950
573	1277	947
574	1278	944
575	1279	941
576	1281	939
577	1282	936
578	1283	933
579	1285	930
580	1286	928
581	1288	925
582	1289	922
583	1290	919
584	1291	916
585	1293	913
586	1294	911
587	1296	908
588	1297	905
589	1299	902
590	1300	899
591	1301	897
592	1303	894
593	1304	891
594	1306	889
595	1307	886
596	1308	883
597	1309	880
598	1311	877
599	1312	875
600	1314	872
601	1315	870
602	1317	867
603	1319	864
604	1320	862
605	1321	859
606	1323	856
607	1324	853
608	1326	851
609	1327	848
610	1328	845
611	1329	843
612	1331	840
613	1332	837
614	1333	834
615	1335	832
616	1336	829
617	1338	827
618	1339	824
619	1341	822
620	1342	819
621	1344	817
622	1345	814
623	1347	811
624	1349	809
625	1350	806
626	1351	804
627	1353	801
628	1354	798
629	1355	796
630	1357	793
631	1358	791
632	1360	788
633	1361	786
634	1362	783
635	1364	780
636	1365	778
